"Timestamp","Full Name","Upload a Profile Photo","Short Biography","Accepted Talk Title","Accepted Talk Type","Twitter handle","GitHub handle"
"2019/09/30 2:05:16 pm CET","Shehu Awwal","https://drive.google.com/open?authuser=5&usp=forms_web&id=1unCSPasaYTeomKCZBJ4vtN3Ov95L1j6I","Hacker — Passionate About InfoSec, Linux, Clouds, Containers, Virtualization, Distributed Systems And Architectures And New Trends.","Building A Distributed Systems To Scale Your Python App On Premise DataCenter Or In The Cloud","General Talk","ShehuAwwal","ShehuAwwal"
"2019/09/30 2:15:21 pm CET","Jeannette Washington, M.Ed.","https://drive.google.com/open?authuser=5&usp=forms_web&id=1lrs3CGUMyMdErHoYKWBbX0cznRXwswDw","I am Jeannette Washington, M.Ed. a former Speech Language Pathologist with nearly a decade of experience working with students that exhibit special abilities. My expertise in the field was recently solicited at GT Bank's 9th Annual Autism Conference. Learning to code has ignited my passion for special populations in the tech industry. I have spoken at the Mississippi Dyslexia Symposium, A11y Camp Chicago, Pycon Canada, PyCaribbean and participated on a Diversity in WordPress Panel, to name a few. I can always be found tinkering or boasting the importance of accessibility, inclusion, cognitive diversity and equity in the tech industry. ","PyAbilities : Embracing Your Special Abilities and Python","General Talk","http://www.Twitter.com/BearlyArtic","http://www.github.com/jlrwashington"
"2019/09/30 2:37:13 pm CET","Iyanuoluwa Ajao","https://drive.google.com/open?authuser=5&usp=forms_web&id=1Lt76Ztll43rHBYKQ3BCkVVnKk5HaMwc1","Hi I’m Iyanuoluwa. You can call me Ashiri(meaning Secret). I’m a Software Engineer at Crop2Cash. My favourite tool is Python and I have experience using JavaScript and Flutter/Dart.","The Three Python Concurrency Patterns: Which One to choose?","General Talk","@IyanuAshiri","iyanuashiri"
"2019/09/30 2:40:31 pm CET","Victor Irekponor","https://drive.google.com/open?authuser=5&usp=forms_web&id=1le6EnchNL-XnbmoXe-e9SO7zMgqgwqu7","I am an undergrad student of the University of Lagos, Nigeria. I study Urban and Regional Planning (Penultimate Year). I love Data science and Artificial Intelligence with so much gusto. I have about 10 months of industry experience in AI as i work and intern remotely, while still in school. With over 3 years of Experience in software development and Programming. 

I look forward to bridging the gap between Cities and AI in the nearest future -Creating smarter cities where everyone lives a life of serendipity. ","Twitter Data Mining: Gathering and Pre-processing Location Based Tweets for Textual Analysis and Insights","Tutorial/Workshop","@irekponorvictor","marquisvictor"
"2019/09/30 2:41:29 pm CET","Dawid Pacia","https://drive.google.com/open?authuser=5&usp=forms_web&id=1LQsdMbpTWELWwm_G1KdrAFf4VqLCE9hK","Who am I? 

1/3 QA, 1/3 DevOps, 1/3 Lead. Tech freak following all the newest technologies. Fan of Agile approach to project management and products. Awarded as “People of Testing” 2018 & 2019. 


What I do? 

Leading and supporting the best and the happiest QA team! Actively speaking (and traveling) around the world (combining both passions). Organizer and originator of QA meetups “UkrainQA” & “KraQA”.","Build your own Internet of Continuously Delivered Things  ","General Talk","dawid_py",""
"2019/09/30 2:49:39 pm CET","Glory Agatevure","https://drive.google.com/open?authuser=5&usp=forms_web&id=134y1TAPUIrK0M5hRE93pH_9J8rXBT4IR","I am a Software Developer and Product Designer. I help build tech communities. I  am the Python Akwa Ibom Lead, founder Sheistechy a non governmental organization that help young girls build their careers around tech.","Understanding the Relevance of UI Refactoring and User-centered Design in Software Development","General Talk","@agatevureglory","https://www.github.com/gconnect"
"2019/09/30 2:54:47 pm CET","Dare Sunday","https://drive.google.com/open?authuser=5&usp=forms_web&id=1J49rvAH93QjqI_C7ackw_qDxme8QPGB1","Team lead and mentor Data Science at Tenece Professional Services. I have a demonstrated history of working on top projects across various industries, skilled in Data Modelling, Data Research, Data Analytics, and Machine Learning.","Understanding what makes Recommendation System Tick and Tock","Tutorial/Workshop","bedaring_","thenameisdrey"
"2019/09/30 3:07:07 pm CET","Ogunyale Richard Kehinde","https://drive.google.com/open?authuser=5&usp=forms_web&id=1M6vLYgG1vX51TGjMg7QXZA0bWbsA0har","Kehinde is a software Engineer at Chatdesk. He has a lot of interest in developing Artificial intelligence models that is peculiar to solving African problems. He also loves playing Chess. ","Convolutional Neural Network- Image Classification","Tutorial/Workshop","@_Kennyrich","https://github.com/KennyRich"
"2019/09/30 3:32:59 pm CET","Crux Conception, M. Psych","https://drive.google.com/open?authuser=5&usp=forms_web&id=1WxbZeBCohJu_VJuZaCLz7aqiX8dLb4R9","Crux resides in Fort Wayne, Indiana, and has over 20 years of Law Enforcement (LEO), Criminal Profiling and teaching experience.

Law Enforcement experience:

•Homicide Detective
•Criminal Profiler
•Gang Unit Specialist Detective
•Hostage Negotiator
•Crisis Intervention Team (CIT) Officer
•School Resources Officer (SRO)
•Five years as a Special Agent with the DEPARTMENT OF HOMELAND (DHS)

Crux, now retired, worked as a Homicide Detective, Criminal Profiler and Hostage Negotiator with the Fort Wayne (Indiana) Police Dept.

Teaching experience:
Currently, Crux is an Adjunct Professor:


•Psychology
•Business Psychology
•Social Media Psychology
•Criminal Profiling
•Criminal Behavior
•Computer Psychology
•Sociology (Group Dynamics)

Education:

•Bachelor of Science degree; Criminology (Ball State University, 1994).

•Master’s degree; Forensic Psychology (Walden University, 2012).

•Currently, a Ph.D. Candidate (Forensic Psychology), at Walden University","Team Dynamics & Communication Skills (For Software Engineering Team Projects, Start Ups & Customer Service)","General Talk","@CruxConception","@CruxConception"
"2019/09/30 4:05:17 pm CET","Abimbola Olawale Victor","https://drive.google.com/open?authuser=5&usp=forms_web&id=1l_lov0b2wJgFh7o8Hv2N0pQyb1EoEE_2","AI Plus Member of Data Science Nigeria
Statistician
Data Scientist
AI enthusiast
Emerging machine learning expert","A Gentle Introduction to Facial Recognition System Using Open CV","General Talk","https://twitter.com/bimbolawale","https://github.com/olawale0254"
"2019/09/30 7:30:37 pm CET","Diretnan Domnan","https://drive.google.com/open?authuser=5&usp=forms_web&id=10jq-feZvonArdQhSZ5fWDYVtyJwCR4Py","Software developer and avid lover of all things development related, especially AI. Almost anything science gets me excited. From the Casimir effect to gene editing research down to ancient Greek philosophers. I get a kick from taking it in even when I don't fully grasp it. The status I aim for is creating ripples throughout history's waters, that is my definition of immortality","Pipelines: Creating End to end workflows ","Tutorial/Workshop","_deven96","deven96"
"2019/10/01 7:52:22 am CET","Bakare Emmanuel Oluwatimilehin","https://drive.google.com/open?authuser=5&usp=forms_web&id=1gScdTVeU0b8LH4Eke30q5C5t6Qokm793","My name is Bakare Emmanuel, I’ve been using Linux for more than 4 years now and can’t say I’ve ever enjoyed windows after switching. I double as a DevOps Plumber fixing pipelines at DEIMOS ML, a GCP partner across Africa and an LCA/Volunteer Facilitator at Andela. My aim is to become a GDE in Cloud at best.

I’m kind of a fun person with a decade long experience of making people laugh so I can confidently deny being boring. Consider me as your personal hype man for any event!

Asides code and Linux, I chill using my hours to sleep, eat and do what normal people do e.g work and play hard.","Event Driven Architecture The Right Way","Tutorial/Workshop","@TiemmaBakare","Tiemma"
